stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
5378,HagMtHoN,NBD Hagadorn past Mt Hope,HAGADORN RD & JANICE LEE DR,42.712622,-84.461958,,,,,,0
5379,OkeKewaN,NBD Okemos at Kewanee,OKEMOS RD & KEWANEE WAY,42.709394,-84.432284,,,,,,0
5381,MtHoSemE,EBD Mt Hope before Seminole,E MOUNT HOPE RD & INDIAN HILLS DR,42.71182,-84.432867,,,,,,0
5382,DobKinaN,NBD Dobie before Kinawa,DOBIE RD & KINAWA DR,42.696972,-84.410287,,,,,,0
5384,JolFairE,EBD Jolly past Fairhills Dr,JOLLY RD & FAIRHILLS DR,42.682838,-84.421212,,,,,,0
5385,GRivWaHW,WBD Gr River past Washington Hts,W GRAND RIVER AVE & WASHINGTON HEIGHTS AVE,42.719133,-84.414526,,,,,,0
5386,LarcEriN,NBD Larch Street at Erie,N LARCH ST & ERIE ST,42.739857,-84.544561,,,,,,0
5443,CedKalS,SBD Cedar past Kalamazoo,S CEDAR ST & E KALAMAZOO ST,42.72831,-84.54547,,,,,,0
5445,HasWestW,WBD Haslett past Westminster,HASLETT RD & OKEMOS RD,42.747024,-84.434332,,,,,,0
5446,HasParkW,WBD Haslett past Park Lake,HASLETT RD & PARK LAKE RD,42.747049,-84.448597,,,,,,0
5447,LkLaBoiE,EBD Lake Lansing past Bois Isle,LAKE LANSING RD & LAC DU MONT DR,42.754915,-84.419409,,,,,,0
5450,HolmExpE,EBD Holmes past Express Ct.,W HOLMES RD & EXPRESS CT,42.697496,-84.573936,,,,,,0
5463,JeffCher,SBD Jefferson before Cherry,S JEFFERSON ST & E CHERRY ST,42.576256,-84.443224,,,,,,0
5466,JefMaplS,SBD Jefferson before Maple,S JEFFERSON ST & E MAPLE ST,42.580542,-84.443203,,,,,,0
5467,JeffOakS,SBD Jefferson before Oak,S JEFFERSON ST & W ELM ST,42.577885,-84.443221,,,,,,0
5468,CedCurtS,SBD Cedar past Curtis,N CEDAR ST & CURTIS ST,42.588196,-84.456155,,,,,,0
5469,ColuCedE,EBD Columbia past Cedar,W COLUMBIA ST & MECHANIC ST,42.582162,-84.45211,,,,,,0
5470,JeffOakN,NBD Jefferson before Oak,S JEFFERSON ST & W ELM ST,42.57792,-84.443074,,,,,,0
5471,JefMaplN,NBD Jefferson past Maple,S JEFFERSON ST & E MAPLE ST,42.580631,-84.443055,,,,,,0
5472,52HighvS,SBD M-52 past Highview Rd,STOCKBRIDGE RD & HIGHVIEW DR,42.662845,-84.19836,,,,,,0
5473,52HighvN,NBD M-52 before Highview Rd.,STOCKBRIDGE RD,42.662675,-84.198214,,,,,,0
5489,GrRivWeW,WBD Grand River at Webberville,GRAND RIVER AVE W & Webberville Rd,42.667241,-84.187633,,,,,,0
5491,GRivSkiW,WBD Grand River past Skirting Av,E GRAND RIVER AVE & HIGHVIEW DR,42.685597,-84.265022,,,,,,0
5499,CentGrRN,NBD Central Park past Grand River,CENTRAL PARK DR & DOBIE RD,42.718356,-84.409492,,,,,,0
5500,CentNewN,NBD Central Park at Newman,CENTRAL PARK DR & NEWMAN RD,42.72275,-84.410144,,,,,,0
5512,GRivHarE,EBD Grand River past Harrison,W GRAND RIVER AVE & ARDSON RD,42.737777,-84.49315,,,,,,0
5514,GrRiDo2E,EBD Grand RIver past Dobie,W GRAND RIVER AVE & CENTRAL PARK DR,42.717505,-84.408868,,,,,,0
5540,InCoCaFS,SBD Ingham County Care Facility,INGHAM COUNTY EXTENDED CARE & CSX TRANSPORTATION,42.692738,-84.409218,,,,,,0
5542,CentTiSW,WBD Central Park past Times Square,1801 CENTRAL PARK DR & NEWMAN RD,42.727281,-84.412355,,,,,,0
5543,FIACedE,EBD FIA Entrance off Cedar,UNNAMED ST & S CEDAR ST,42.681025,-84.547673,,,,,,0
5546,JolDuncE,EBD Jolly before Dunckel,,42.682905,-84.514406,,,,,,0
5548,PiTrJolS,SBD PineTree past Jolly,PINE TREE RD & PATIENT CARE DR,42.682173,-84.503752,,,,,,0
5551,StonWabN,NBD Stoneleigh past Wabash,STONELEIGH DR & FIRESIDE DR,42.699307,-84.514902,,,,,,0
5553,ColHunsE,EBD Coleman before Hunsaker,COLEMAN RD & COOLIDGE RD,42.77302,-84.487185,,,,,,0
5578,KalaMagW,WBD Kalamazoo past Magnolia,E KALAMAZOO ST & S MAGNOLIA AVE,42.729982,-84.521717,,,,,,0
5579,CherKalS,SBD Cherry past Kalamazoo,CHERRY ST & E LENAWEE ST,42.729081,-84.549167,,,,,,0
5581,JollBelE,EBD Jolly Past Belle Chase,,42.682919,-84.508133,,,,,,0
5583,WavBridS,SBD Waverly past Bridgeport,S WAVERLY RD,42.671147,-84.603081,,,,,,0
5584,MillWavE,EBD Miller past Waverly,W MILLER RD & S WAVERLY RD,42.669214,-84.602259,,,,,,0
5585,MillCoaE,EBD Miller past Coachlight,W MILLER RD & COACHLIGHT COMMON,42.669151,-84.59783,,,,,,0
5586,MillCoaW,WBD Miller past Coachlight,W MILLER RD & COACHLIGHT COMMON,42.669322,-84.598491,,,,,,0
5587,MillWavW,WBD Miller before Waverly,W MILLER RD & S WAVERLY RD,42.669322,-84.602062,,,,,,0
5588,WavBridN,NBD Waverly past Bridgeport,S WAVERLY RD & BRIDGEPORT DR,42.671469,-84.602971,,,,,,0
5590,HighNorN,NBD High St before North,N HIGH ST & DRURY LN,42.751129,-84.538654,,,,,,0
5593,GrRivPdW,WBD Gr River at Paddock Dr,W GRAND RIVER AVE & PADDOCK DR,42.715917,-84.399674,,,,,,0
5595,GrRivCRE,EBD Grand River Before Corwin,W GRAND RIVER AVE & W GRAND RIVER AVE,42.688088,-84.303582,,,,,,0
5596,GrRivMcE,EBD Grand River At McCormick,W GRAND RIVER AVE & MCCORMICK ST,42.68774,-84.292387,,,,,,0
5597,GrRivJaE,EBD Grand River After Jackson,W GRAND RIVER AVE & E GRAND RIVER AVE,42.688716,-84.285349,,,,,,0
5598,GrRivWaW,WBD Grand River After Water ST,E GRAND RIVER AVE & WATER ST,42.688469,-84.279187,,,,,,0
5599,HaslHagE,EBD Haslett before Hagadorn,HASLETT RD & E SAGINAW ST,42.746861,-84.464364,,,,,,0
5600,MLKHilcS,SBD MLK past Hillcrest St,S MARTIN LUTHER KING JR BLVD & HILLCREST ST,42.692752,-84.567603,,,,,,0
5601,HarMtHoS,SBD Harrison Road past Mt Hope,S HARRISON RD & E MOUNT HOPE RD,42.71122,-84.493951,,,,,,0
5602,HarMtHoN,NBD Harrison Road past Mt Hope,S HARRISON RD & CRESCENT RD,42.712526,-84.493617,,,,,,0
5608,MLKWashN,NBD MLK past Washtenaw,S MARTIN LUTHER KING JR BLVD & Washtenaw,42.73159,-84.56667,,,,,,0
5609,GrRiDo1E,EBD Gr River  before Dobie Road,W GRAND RIVER AVE & COUNTRY WAY DR E,42.718234,-84.411593,,,,,,0
5636,KalaChaW,WBD Kalamazoo before Charles,E KALAMAZOO ST & CHARLES ST,42.730051,-84.513392,,,,,,0
5637,JollOkeW,WBD Jolly before Okemos,JOLLY RD & SERVICE DR,42.682979,-84.431327,,,,,,0
5638,JollWavW,WBD Jolly before Waverly Road,W JOLLY RD & WEXFORD RD,42.683199,-84.601069,,,,,,0
5639,GrRivSWE,EBD Grand River before Sky Way,E Grand River Rd & Skyway Dr,42.6837,-84.25607,,,,,,0
5640,GrRivSWW,WBD Grand River past Sky Way,E Grand River Rd & Skyway Dr,42.68364,-84.25537,,,,,,0
5641,WashBanS,SBD Washington at Bank St,S WASHINGTON AVE & E BARNES AVE,42.713298,-84.552509,,,,,,0
5642,HilVoCeS,Hill Vocational Center,,42.673303,-84.591777,,,,,,0
5645,FarmShaS,SBD Farm past S Shaw,FARM LN,42.724879,-84.477988,,,,,,0
5646,CedJusS,SBD Cedar past Just-a-Mere,S CEDAR ST & BROOKDALE ST,42.65675,-84.53485,,,,,,0
5647,JollCedW,WBD Jolly before Cedar,E JOLLY RD & W JOLLY RD,42.683091,-84.54599,,,,,,0
5669,CedWil1N,NBD Cedar before Willoughby,CEDAR ST & FAY ST,42.65352,-84.53121,,,,,,0
5670,GrRivDoW,WBD Grand River past Dobie,1729 W GRAND RIVER AVE & COUNTRY WAY DR E,42.718215,-84.411139,,,,,,0
5672,GrRivPFE,EBD Gr River past Paddock Farms,W GRAND RIVER AVE & PADDOCK DR,42.7158,-84.399552,,,,,,0
5673,TranRenN,NBD Tranter past Rensen,TRANTER ST & CATA HEADQUARTERS,42.684992,-84.534536,,,,,,0
5675,MichGraW,WBD Michigan before Washington,E MICHIGAN AVE & WASHINGTON STREET,42.733721,-84.551285,,,,,,0
5678,EdgwCedW,WBD Edgewood past Cedar,EDGEWOOD BLVD & CEDAR CONN/CEDAR RAMP,42.665669,-84.542444,,,,,,0
5679,EdgwAmwW,WBD Edgewood past Amwood,EDGEWOOD BLVD & PARIS AVE,42.665008,-84.544138,,,,,,0
5680,EdgwAmeW,WBD Edgewood past American Road,EDGEWOOD BLVD & CEDAR CONN/CEDAR RAMP,42.663184,-84.548802,,,,,,0
5683,KalaPenW,WBD Kalamazoo past Pennsylvania,E KALAMAZOO ST & S PENNSYLVANIA AVE,42.729957,-84.538488,,,,,,0
5684,EdgeSBrW,WBD Edgewood at Southbrook Apts,EDGEWOOD BLVD & CEDAR CONN/CEDAR RAMP,42.663998,-84.54663,,,,,,0
5687,ChesShaN,NBD Chestnut past Shaw,CHESTNUT RD & W SHAW LN,42.726605,-84.487774,,,,,,0
5689,EdgeRicW,WBD Edgewood past Richard,EDGEWOOD BLVD & RICHARD RD,42.660736,-84.557713,,,,,,0
5690,EdgeWasW,WBD Edgewood past Washington,E EDGEWOOD/W EDGEWOOD TURN & EDGEWOOD BLVD,42.663136,-84.565615,,,,,,0
5691,EdgeWa2W,WBD Edgewood @ Edgewood Villas,EDGEWOOD BLVD & CEDAR CONN/CEDAR RAMP,42.66327,-84.567725,,,,,,0
5692,EdgeWasE,EBD Edgewood past Washington,EDGEWOOD BLVD & W EDGEWOOD/E EDGEWOOD TURN,42.66232,-84.56292,,,,,,0
5693,BurcButE,EBD Burcham before Butterfield,BURCHAM DR,42.740614,-84.47328,,,,,,0
5694,OkeFoxHN,NBD Okemos before Fox Hollow,OKEMOS RD & FIELDSTONE DR,42.689047,-84.432356,,,,,,0
5696,LkLaNYoE,EBD Lake Lansing past New York,LAKE LANSING RD & NEW YORK AVE,42.756202,-84.537286,,,,,,0
5697,LkLaComE,EBD Lake Lansing past Commonwealth,LAKE LANSING RD & MASSACHUSETTS AVE,42.757553,-84.535135,,,,,,0
5698,LkLaChaE,EBD Lake Lansing past Chamberlain,LAKE LANSING RD & WOOD ST,42.760619,-84.528115,,,,,,0
5699,LkLaWo2E,EBD Lk Lansing before Wood,LAKE LANSING RD & WOOD ST,42.76065,-84.524805,,,,,,0
5700,WooLkLaN,NBD Wood past Lake Lansing,WOOD ST & LAKE LANSING RD,42.761099,-84.52299,,,,,,0
5703,LkLaWooW,WBD Lake Lansing past Wood,LAKE LANSING RD & WOOD ST,42.760766,-84.524918,,,,,,0
5704,LkLaChaW,WBD Lake Lansing before Chamberlain,LAKE LANSING RD & WOOD ST,42.760748,-84.528425,,,,,,0
5705,LkLaComW,WBD Lake Lansing before Commonwealt,LAKE LANSING RD & COMMONWEALTH AVE,42.757892,-84.534815,,,,,,0
5706,LkLaNYoW,WBD Lake Lansing past New York,LAKE LANSING RD & NEW YORK AVE,42.756104,-84.537643,,,,,,0
5712,EdgeCelW,WBD Edgewood past Celebration Dr.,EDGEWOOD BLVD & CEDAR CONN/CEDAR RAMP,42.661897,-84.552141,,,,,,0
5713,ColDuncN,NBD Collins past Dunckel,Collins Rd & Dunckel Rd,42.69001,-84.49867,,,,,,0
5716,HolmExpW,WBD Holmes past Express Dr.,W HOLMES RD & SIMKEN DR,42.697612,-84.574636,,,,,,0
5718,KalDeHaW,WBD Kalamazoo at Dem Hall Dr,E KALAMAZOO ST & FARM LN,42.730061,-84.48939,,,,,,0
5719,VctrBedW,WBD Victor before Bedford,2900 VICTOR AVE & BEDFORD ST,42.705327,-84.589209,,,,,,0
5720,LacBoiN2,NBD LacDuMont past Bois Isle,2016 LAC DU MONT DR,42.749918,-84.423783,,,,,,0
5723,EdgeCelE,EBD Edgewood before Celebration Dr,EDGEWOOD BLVD & W EDGEWOOD/E EDGEWOOD TURN,42.661937,-84.551213,,,,,,0
5724,PaCaPiTW,WBD Patient Care before Pine Tree,PATIENT CARE DR & PINE TREE RD,42.677439,-84.502752,,,,,,0
